INPUT_TABLE,,,,,
Variable ID,,,,,
51,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,CO2
WY,base load generation,gas,gas_base_CC,2095,CO2_ELEC
WY,base load generation,gas,gas_base_CC,2100,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,1975,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,1990,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2005,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2010,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2015,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2020,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2025,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2030,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2035,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2040,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2045,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2050,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2055,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2060,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2065,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2070,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2075,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2080,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2085,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2090,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2095,CO2_ELEC
WY,base load generation,gas,gas_base_CC_CCS,2100,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,1975,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,1990,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2005,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2010,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2015,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2020,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2025,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2030,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2035,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2040,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2045,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2050,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2055,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2060,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2065,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2070,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2075,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2080,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2085,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2090,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2095,CO2_ELEC
WY,base load generation,gas,gas_base_steam/CT,2100,CO2_ELEC
WY,base load generation,geothermal,geo_base,1975,CO2_ELEC
WY,base load generation,geothermal,geo_base,1990,CO2_ELEC
WY,base load generation,geothermal,geo_base,2005,CO2_ELEC
WY,base load generation,geothermal,geo_base,2010,CO2_ELEC
WY,base load generation,geothermal,geo_base,2015,CO2_ELEC
WY,base load generation,geothermal,geo_base,2020,CO2_ELEC
WY,base load generation,geothermal,geo_base,2025,CO2_ELEC
WY,base load generation,geothermal,geo_base,2030,CO2_ELEC
WY,base load generation,geothermal,geo_base,2035,CO2_ELEC
WY,base load generation,geothermal,geo_base,2040,CO2_ELEC
WY,base load generation,geothermal,geo_base,2045,CO2_ELEC
WY,base load generation,geothermal,geo_base,2050,CO2_ELEC
WY,base load generation,geothermal,geo_base,2055,CO2_ELEC
WY,base load generation,geothermal,geo_base,2060,CO2_ELEC
WY,base load generation,geothermal,geo_base,2065,CO2_ELEC
WY,base load generation,geothermal,geo_base,2070,CO2_ELEC
WY,base load generation,geothermal,geo_base,2075,CO2_ELEC
WY,base load generation,geothermal,geo_base,2080,CO2_ELEC
WY,base load generation,geothermal,geo_base,2085,CO2_ELEC
WY,base load generation,geothermal,geo_base,2090,CO2_ELEC
WY,base load generation,geothermal,geo_base,2095,CO2_ELEC
WY,base load generation,geothermal,geo_base,2100,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,1975,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,1990,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2005,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2010,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2015,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2020,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2025,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2030,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2035,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2040,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2045,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2050,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2055,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2060,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2065,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2070,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2075,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2080,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2085,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2090,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2095,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen II,2100,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,1975,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,1990,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2005,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2010,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2015,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2020,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2025,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2030,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2035,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2040,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2045,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2050,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2055,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2060,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2065,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2070,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2075,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2080,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2085,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2090,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2095,CO2_ELEC
WY,base load generation,nuclear,nuc_base_Gen III,2100,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,1975,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,1990,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2005,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2010,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2015,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2020,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2025,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2030,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2035,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2040,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2045,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2050,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2055,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2060,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2065,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2070,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2075,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2080,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2085,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2090,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2095,CO2_ELEC
WY,base load generation,refined liquids,refined liquids_base_steam/CT,2100,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,1975,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,1990,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2005,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2010,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2015,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2020,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2025,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2030,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2035,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2040,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2045,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2050,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2055,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2060,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2065,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2070,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2075,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2080,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2085,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2090,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2095,CO2_ELEC
WY,base load generation,solar,CSP_base_storage,2100,CO2_ELEC
WY,base load generation,solar,PV_base_storage,1975,CO2_ELEC
WY,base load generation,solar,PV_base_storage,1990,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2005,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2010,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2015,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2020,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2025,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2030,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2035,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2040,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2045,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2050,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2055,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2060,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2065,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2070,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2075,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2080,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2085,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2090,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2095,CO2_ELEC
WY,base load generation,solar,PV_base_storage,2100,CO2_ELEC
WY,base load generation,wind,wind_base_storage,1975,CO2_ELEC
WY,base load generation,wind,wind_base_storage,1990,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2005,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2010,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2015,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2020,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2025,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2030,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2035,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2040,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2045,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2050,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2055,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2060,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2065,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2070,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2075,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2080,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2085,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2090,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2095,CO2_ELEC
WY,base load generation,wind,wind_base_storage,2100,CO2_ELEC
AK,industrial energy use,coal,coal cogen,1975,CO2_ELEC
AK,industrial energy use,coal,coal cogen,1990,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2005,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2010,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2015,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2020,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2025,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2030,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2035,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2040,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2045,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2050,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2055,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2060,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2065,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2070,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2075,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2080,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2085,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2090,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2095,CO2_ELEC
AK,industrial energy use,coal,coal cogen,2100,CO2_ELEC
AK,industrial energy use,gas,gas cogen,1975,CO2_ELEC
AK,industrial energy use,gas,gas cogen,1990,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2005,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2010,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2015,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2020,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2025,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2030,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2035,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2040,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2045,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2050,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2055,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2060,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2065,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2070,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2075,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2080,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2085,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2090,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2095,CO2_ELEC
AK,industrial energy use,gas,gas cogen,2100,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,1975,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,1990,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2005,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2010,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2015,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2020,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2025,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2030,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2035,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2040,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2045,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2050,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2055,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2060,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2065,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2070,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2075,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2080,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2085,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2090,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2095,CO2_ELEC
AK,industrial energy use,hydrogen,hydrogen cogen,2100,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,1975,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,1990,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2005,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2010,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2015,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2020,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2025,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2030,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2035,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2040,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2045,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2050,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2055,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2060,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2065,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2070,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2075,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2080,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2085,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2090,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2095,CO2_ELEC
AK,industrial energy use,refined liquids,refined liquids cogen,2100,CO2_ELEC
AL,industrial energy use,coal,coal cogen,1975,CO2_ELEC
AL,industrial energy use,coal,coal cogen,1990,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2005,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2010,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2015,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2020,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2025,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2030,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2035,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2040,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2045,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2050,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2055,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2060,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2065,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2070,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2075,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2080,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2085,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2090,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2095,CO2_ELEC
AL,industrial energy use,coal,coal cogen,2100,CO2_ELEC
AL,industrial energy use,gas,gas cogen,1975,CO2_ELEC
AL,industrial energy use,gas,gas cogen,1990,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2005,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2010,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2015,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2020,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2025,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2030,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2035,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2040,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2045,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2050,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2055,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2060,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2065,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2070,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2075,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2080,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2085,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2090,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2095,CO2_ELEC
AL,industrial energy use,gas,gas cogen,2100,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,1975,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,1990,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2005,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2010,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2015,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2020,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2025,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2030,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2035,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2040,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2045,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2050,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2055,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2060,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2065,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2070,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2075,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2080,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2085,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2090,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2095,CO2_ELEC
AL,industrial energy use,hydrogen,hydrogen cogen,2100,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,1975,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,1990,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2005,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2010,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2015,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2020,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2025,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2030,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2035,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2040,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2045,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2050,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2055,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2060,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2065,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2070,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2075,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2080,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2085,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2090,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2095,CO2_ELEC
AL,industrial energy use,refined liquids,refined liquids cogen,2100,CO2_ELEC
AR,industrial energy use,coal,coal cogen,1975,CO2_ELEC
AR,industrial energy use,coal,coal cogen,1990,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2005,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2010,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2015,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2020,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2025,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2030,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2035,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2040,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2045,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2050,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2055,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2060,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2065,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2070,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2075,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2080,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2085,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2090,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2095,CO2_ELEC
AR,industrial energy use,coal,coal cogen,2100,CO2_ELEC
AR,industrial energy use,gas,gas cogen,1975,CO2_ELEC
AR,industrial energy use,gas,gas cogen,1990,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2005,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2010,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2015,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2020,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2025,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2030,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2035,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2040,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2045,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2050,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2055,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2060,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2065,CO2_ELEC
AR,industrial energy use,gas,gas cogen,2070,CO2_ELEC
